,,PassengerId,Survived
64,,956,[0.1406882405281067]
65,,957,[1.004828929901123]
66,,958,[1.004828929901123]
67,,959,[0.12440813332796097]
68,,960,[0.06544458121061325]
69,,961,[1.004828929901123]
70,,962,[0.0]
71,,963,[0.014884849078953266]
72,,964,[1.004828929901123]
73,,965,[0.056231461465358734]
74,,966,[0.0]
75,,967,[0.07097244262695312]
76,,968,[0.06632955372333527]
77,,969,[1.004828929901123]
78,,970,[0.05477321892976761]
79,,971,[1.004828929901123]
80,,972,[0.0]
81,,973,[0.21188786625862122]
82,,974,[0.13177859783172607]
83,,975,[0.06632955372333527]
84,,976,[0.07319927215576172]
85,,977,[0.08018199354410172]
86,,978,[0.0]
87,,979,[0.0]
88,,980,[1.004828929901123]
89,,981,[0.9494986534118652]
90,,982,[1.004828929901123]
91,,983,[0.06632955372333527]
92,,984,[1.004828929901123]
93,,985,[0.06632955372333527]
94,,986,[0.0433332696557045]
95,,987,[0.029583292081952095]
96,,988,[1.004828929901123]
97,,989,[0.0442817360162735]
98,,990,[1.004828929901123]
99,,991,[0.05898024141788483]
100,,992,[1.004828929901123]
101,,993,[0.05749250948429108]
102,,994,[0.06632955372333527]
103,,995,[0.03325788676738739]
104,,996,[0.8497803807258606]
105,,997,[0.04060720279812813]
106,,998,[0.014884849078953266]
107,,999,[0.06632955372333527]
108,,1000,[0.06632955372333527]
109,,1001,[0.012392997741699219]
110,,1002,[0.09531077742576599]
111,,1003,[1.004828929901123]
112,,1004,[1.004828929901123]
113,,1005,[0.0]
114,,1006,[1.004828929901123]
115,,1007,[0.006342499051243067]
116,,1008,[0.06632955372333527]
117,,1009,[1.2314584255218506]
118,,1010,[0.0838707685470581]
119,,1011,[0.0]
120,,1012,[1.004828929901123]
121,,1013,[0.08018199354410172]
122,,1014,[1.004828929901123]
123,,1015,[0.04060720279812813]
124,,1016,[0.06632955372333527]
125,,1017,[1.004828929901123]
126,,1018,[0.01855950616300106]
127,,1019,[1.004828929901123]
128,,1020,[0.09899584949016571]
129,,1021,[0.025908634066581726]
130,,1022,[0.05530558153986931]
131,,1023,[0.1465195119380951]
132,,1024,[1.004828929901123]
133,,1025,[0.08018199354410172]
134,,1026,[0.095726378262043]
135,,1027,[0.025908634066581726]
136,,1028,[0.03509521484375]
137,,1029,[0.0]
138,,1030,[1.004828929901123]
139,,1031,[-0.06171119958162308]
140,,1032,[-0.19438938796520233]
141,,1033,[1.004828929901123]
142,,1034,[0.1908683180809021]
143,,1035,[0.04740263521671295]
144,,1036,[0.10598208010196686]
145,,1037,[0.09318872541189194]
146,,1038,[0.08018550276756287]
147,,1039,[0.01855950616300106]
148,,1040,[0.08018550276756287]
149,,1041,[0.06891213357448578]
150,,1042,[1.004828929901123]
151,,1043,[0.06632955372333527]
152,,1044,[0.16018636524677277]
153,,1045,[1.004828929901123]
154,,1046,[-0.06257753819227219]
155,,1047,[0.025908634066581726]
156,,1048,[1.004828929901123]
157,,1049,[1.004828929901123]
158,,1050,[0.10598208010196686]
159,,1051,[1.004828929901123]
160,,1052,[1.004828929901123]
161,,1053,[0.8173168897628784]
162,,1054,[1.004828929901123]
163,,1055,[0.06632955372333527]
164,,1056,[0.09531077742576599]
165,,1057,[1.004828929901123]
166,,1058,[0.12809346616268158]
167,,1059,[-0.002550765173509717]
168,,1060,[1.004828929901123]
169,,1061,[1.004828929901123]
170,,1062,[0.06632955372333527]
171,,1063,[0.036932606250047684]
172,,1064,[0.0]
173,,1065,[0.06632955372333527]
174,,1066,[-0.007425923366099596]
175,,1067,[1.004828929901123]
176,,1068,[1.004828929901123]
177,,1069,[0.1639799177646637]
178,,1070,[1.004828929901123]
179,,1071,[1.004828929901123]
180,,1072,[0.05477321892976761]
181,,1073,[0.10169494152069092]
182,,1074,[1.004828929901123]
183,,1075,[0.06632955372333527]
184,,1076,[1.004828929901123]
185,,1077,[0.09162526577711105]
186,,1078,[1.004828929901123]
187,,1079,[0.0062781888991594315]
188,,1080,[0.06452704966068268]
189,,1081,[0.09162526577711105]
190,,1082,[0.08328902721405029]
191,,1083,[0.08018550276756287]
192,,1084,[0.3073173463344574]
193,,1085,[0.16901512444019318]
194,,1086,[0.7295079231262207]
195,,1087,[0.05898024141788483]
196,,1088,[0.7261772155761719]
197,,1089,[1.004828929901123]
198,,1090,[0.0]
199,,1091,[1.004828929901123]
200,,1092,[1.004828929901123]
201,,1093,[1.136849045753479]
202,,1094,[0.13818326592445374]
203,,1095,[0.5396579504013062]
204,,1096,[0.036347102373838425]
205,,1097,[0.08018550276756287]
206,,1098,[1.004828929901123]
207,,1099,[0.03266177698969841]
208,,1100,[1.004828929901123]
209,,1101,[0.029583292081952095]
210,,1102,[0.05530558153986931]
211,,1103,[0.06632955372333527]
212,,1104,[0.013804059475660324]
213,,1105,[1.004828929901123]
214,,1106,[1.004828929901123]
215,,1107,[0.10598208010196686]
216,,1108,[0.0]
217,,1109,[0.17539966106414795]
218,,1110,[1.004828929901123]
219,,1111,[0.06632955372333527]
220,,1112,[1.004828929901123]
221,,1113,[0.014884849078953266]
222,,1114,[1.004828929901123]
223,,1115,[0.014884849078953266]
224,,1116,[0.0]
225,,1117,[1.004828929901123]
226,,1118,[0.02223403938114643]
227,,1119,[1.004828929901123]
228,,1120,[0.08653979748487473]
229,,1121,[0.07688447088003159]
230,,1122,[0.05280689522624016]
231,,1123,[1.004828929901123]
232,,1124,[0.02659195475280285]
233,,1125,[0.06632955372333527]
234,,1126,[0.10870149731636047]
235,,1127,[0.011210191063582897]
236,,1128,[0.20083214342594147]
237,,1129,[0.011210191063582897]
238,,1130,[1.004828929901123]
239,,1131,[1.004828929901123]
240,,1132,[1.004828929901123]
241,,1133,[1.004828929901123]
242,,1134,[0.13117671012878418]
243,,1135,[0.06632955372333527]
244,,1136,[0.08042241632938385]
245,,1137,[0.11607195436954498]
246,,1138,[1.004828929901123]
247,,1139,[0.11313482373952866]
248,,1140,[1.004828929901123]
249,,1141,[1.004828929901123]
250,,1142,[1.0909719467163086]
251,,1143,[0.011210191063582897]
252,,1144,[0.06447874009609222]
253,,1145,[0.025908634066581726]
254,,1146,[0.05714291334152222]
255,,1147,[0.06632955372333527]
256,,1148,[0.06632955372333527]
257,,1149,[0.04060720279812813]
258,,1150,[1.004828929901123]
259,,1151,[0.014884849078953266]
260,,1152,[0.08569397777318954]
261,,1153,[0.014884849078953266]
262,,1154,[1.004828929901123]
263,,1155,[1.2314584255218506]
264,,1156,[0.05477321892976761]
265,,1157,[0.06632955372333527]
266,,1158,[0.08018550276756287]
267,,1159,[0.06632955372333527]
268,,1160,[1.004828929901123]
269,,1161,[0.0049939281307160854]
270,,1162,[0.12072300165891647]
271,,1163,[0.06632955372333527]
272,,1164,[1.004828929901123]
273,,1165,[0.0]
274,,1166,[0.06632955372333527]
275,,1167,[1.004828929901123]
276,,1168,[0.04740263521671295]
277,,1169,[0.1054004654288292]
278,,1170,[0.06854823231697083]
279,,1171,[0.025291254743933678]
280,,1172,[1.004828929901123]
281,,1173,[0.8984335660934448]
282,,1174,[1.004828929901123]
283,,1175,[0.431689590215683]
284,,1176,[1.0664211511611938]
285,,1177,[0.07000402361154556]
286,,1178,[0.06632955372333527]
287,,1179,[0.05342314392328262]
288,,1180,[0.06632955372333527]
289,,1181,[0.06632955372333527]
290,,1182,[0.08018550276756287]
291,,1183,[1.004828929901123]
292,,1184,[0.06632955372333527]
293,,1185,[0.16065861284732819]
294,,1186,[0.07000402361154556]
295,,1187,[0.03325788676738739]
296,,1188,[1.0593383312225342]
297,,1189,[0.09403467178344727]
298,,1190,[0.06175932288169861]
299,,1191,[0.0442817360162735]
300,,1192,[0.05530558153986931]
301,,1193,[0.07319927215576172]
302,,1194,[0.10304494947195053]
303,,1195,[0.025908634066581726]
304,,1196,[1.004828929901123]
305,,1197,[1.004828929901123]
306,,1198,[0.0]
307,,1199,[1.1670936346054077]
308,,1200,[0.16802901029586792]
309,,1201,[1.004828929901123]
310,,1202,[0.003691723570227623]
311,,1203,[0.01855950616300106]
312,,1204,[0.06632955372333527]
313,,1205,[1.004828929901123]
314,,1206,[1.004828929901123]
315,,1207,[1.004828929901123]
316,,1208,[0.17503544688224792]
317,,1209,[0.014235660433769226]
318,,1210,[0.036932606250047684]
319,,1211,[0.05289222300052643]
320,,1212,[0.03325788676738739]
321,,1213,[0.029583292081952095]
322,,1214,[0.0]
323,,1215,[0.07281510531902313]
324,,1216,[1.004828929901123]
325,,1217,[0.02223403938114643]
326,,1218,[0.5348517298698425]
327,,1219,[0.12072300165891647]
328,,1220,[0.0]
329,,1221,[0.02160618267953396]
330,,1222,[1.004828929901123]
331,,1223,[0.09492635726928711]
332,,1224,[0.06632955372333527]
333,,1225,[1.004828929901123]
334,,1226,[0.036932606250047684]
335,,1227,[0.06175932288169861]
336,,1228,[0.06214355304837227]
337,,1229,[0.08168189227581024]
338,,1230,[0.036347102373838425]
339,,1231,[0.06632955372333527]
340,,1232,[0.0]
341,,1233,[0.05530558153986931]
342,,1234,[-0.2052006721496582]
343,,1235,[1.004828929901123]
344,,1236,[0.08035202324390411]
345,,1237,[1.004828929901123]
346,,1238,[0.04003230109810829]
347,,1239,[1.004828929901123]
348,,1240,[0.03266177698969841]
349,,1241,[1.004828929901123]
350,,1242,[1.004828929901123]
351,,1243,[0.036347102373838425]
352,,1244,[0.012107962742447853]
353,,1245,[0.13929542899131775]
354,,1246,[1.4805814027786255]
355,,1247,[0.1354638636112213]
356,,1248,[1.004828929901123]
357,,1249,[0.06632955372333527]
358,,1250,[0.06632955372333527]
359,,1251,[1.004828929901123]
360,,1252,[-0.36136507987976074]
361,,1253,[1.004828929901123]
362,,1254,[1.004828929901123]
363,,1255,[0.036932606250047684]
364,,1256,[1.004828929901123]
365,,1257,[0.7751750946044922]
366,,1258,[0.08018199354410172]
367,,1259,[1.004828929901123]
368,,1260,[1.004828929901123]
369,,1261,[0.05108783394098282]
370,,1262,[0.035381194204092026]
371,,1263,[1.004828929901123]
372,,1264,[0.13177859783172607]
373,,1265,[0.10636637359857559]
374,,1266,[1.004828929901123]
375,,1267,[1.004828929901123]
376,,1268,[1.004828929901123]
377,,1269,[0.02160618267953396]
378,,1270,[0.15389004349708557]
379,,1271,[-0.026739710941910744]
380,,1272,[0.06632955372333527]
381,,1273,[0.03325788676738739]
382,,1274,[1.004828929901123]
383,,1275,[0.0]
384,,1276,[0.07319927215576172]
385,,1277,[1.004828929901123]
386,,1278,[0.025908634066581726]
387,,1279,[0.0]
388,,1280,[0.014884849078953266]
389,,1281,[0.06375814974308014]
390,,1282,[0.03596280887722969]
391,,1283,[1.004828929901123]
392,,1284,[0.27644962072372437]
393,,1285,[0.11742196977138519]
394,,1286,[0.07891460508108139]
395,,1287,[1.004828929901123]
396,,1288,[0.025908634066581726]
397,,1289,[1.004828929901123]
398,,1290,[0.01855950616300106]
399,,1291,[0.05163098871707916]
400,,1292,[1.004828929901123]
401,,1293,[0.09803000837564468]
402,,1294,[1.004828929901123]
403,,1295,[0.04925050586462021]
404,,1296,[0.12344229221343994]
405,,1297,[0.017920859158039093]
406,,1298,[0.04275159165263176]
407,,1299,[0.1496029645204544]
408,,1300,[1.004828929901123]
409,,1301,[1.0490275621414185]
410,,1302,[1.004828929901123]
411,,1303,[1.004828929901123]
412,,1304,[1.004828929901123]
413,,1305,[0.06632955372333527]
414,,1306,[1.004828929901123]
415,,1307,[0.07919061183929443]
416,,1308,[0.06632955372333527]
417,,1309,[0.08035202324390411]
